"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_disColor","cond_disColorRGB","cond_disFeature","cond_disPresent","cond_disProbability","cond_disShape","cond_primingDisColor","cond_primingDisShape","cond_primingTarColor","cond_primingTarShape","cond_tarColor","cond_tarColorRGB","cond_tarLocation","cond_tarLocationLong","cond_tarShape","coordinates","correct","correct_continuePress","count_blockAcc","count_blockFeed","count_blockLoop","count_blockRT","count_blockSeq","count_blockSumCorrect","count_blockSumRT","count_continuePress","count_example","count_expSettings","count_exp_mainLoop","count_experiment","count_instructions","count_instructions1","count_instructions2","count_log","count_main","count_prepCanvas","count_totalAcc","count_totalRT","count_totalSumCorrect","count_totalSumRT","count_trialResp","count_trialSeq","count_trialTask","datetime","description","disable_garbage_collection","dispBlank","dispBlockStart","dispFeedBlock","dispFix","dispInstructions","dispSearch","dispStartScreen","distance2screen","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gaborFreq","gaborSize","height","keyboard_backend","lineOriTar","live_row","live_row_blockLoop","live_row_exp_mainLoop","logfile","mouse_backend","noExpBlocks","noExpTrials","noPracTrials","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","physical_screensize","previousDisColor","previousDisShape","previousTarColor","previousTarShape","repeat_cycle","response","responseTime","response_continuePress","response_time","response_time_continuePress","rgb_gray","rgb_green","rgb_red","rgb_white","round_decimals","sampler_backend","set_blockType","set_counterPositions","set_respCorrect","set_respTimeoutExp","set_respTimeoutPrac","set_rotation","set_setSize","sizeImaginary","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimPositions","stimuli","subject_nr","subject_parity","tarIdx","time_blockFeed","time_blockLoop","time_blockSeq","time_continuePress","time_example","time_expSettings","time_exp_mainLoop","time_experiment","time_instructions","time_instructions1","time_instructions2","time_log","time_main","time_prepCanvas","time_trialResp","time_trialSeq","time_trialTask","timing_EEGwait","timing_fix","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","red","(179, 0, 0)","shape","present","lowProb4","circular","swap","swap","same","same","red","(179, 0, 0)","lowProb","lowProb2","rectangular","uniform","1","undefined","0.00520833333333","1","1","4.08854166667","1","1","785","0","0","0","0","0","0","0","0","25","0","1","0.00520833333333","4.08854166667","1","785","25","25","25","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048B3550>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","0","0","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","red","circular","red","rectangular","0","/","785","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","3","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","887129","1745","880117","886340","880512","880512","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","shape","present","highProb","circular","swap","same","swap","same","green","(0, 122, 0)","lowProb","lowProb5","rectangular","uniform","1","undefined","0.0104166666667","1","1","8.47395833333","1","2","1627","0","0","0","0","0","0","0","0","26","0","1","0.0104166666667","8.47395833333","2","1627","26","26","26","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048C3FB0>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","45","1","1","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","circular","green","rectangular","0","\","842","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","\","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","7","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","889169","1745","880117","888323","887565","887565","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","color","absent","lowProb3","circular","same","same","same","swap","green","(0, 122, 0)","lowProb","lowProb1","circular","uniform","1","undefined","0.015625","1","1","12.859375","1","3","2469","0","0","0","0","0","0","0","0","27","0","1","0.015625","12.859375","3","2469","27","27","27","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048B4950>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","2","2","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","circular","green","circular","0","/","842","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","2","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","891201","1745","880117","890355","889598","889598","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","color","present","highProb","circular","same","same","swap","same","red","(179, 0, 0)","lowProb","lowProb4","circular","uniform","1","undefined","0.0208333333333","1","1","17.7291666667","1","4","3404","0","0","0","0","0","0","0","0","28","0","1","0.0208333333333","17.7291666667","4","3404","28","28","28","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048AF250>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","3","3","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","circular","red","circular","0","/","935","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","6","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","893320","1745","880117","892383","891625","891625","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","shape","present","highProb","circular","same","same","swap","swap","green","(0, 122, 0)","lowProb","lowProb2","rectangular","uniform","1","undefined","0.0260416666667","1","1","23.5572916667","1","5","4523","0","0","0","0","0","0","0","0","29","0","1","0.0260416666667","23.5572916667","5","4523","29","29","29","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048B4F50>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","4","4","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","circular","green","rectangular","0","/","1119","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","3","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","895624","1745","880117","894502","893744","893744","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","color","present","highProb","circular","same","same","swap","swap","red","(179, 0, 0)","highProbShape","highProbShape","circular","uniform","1","undefined","0.03125","1","1","29.0520833333","1","6","5578","0","0","0","0","0","0","0","0","30","0","1","0.03125","29.0520833333","6","5578","30","30","30","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x049A52B0>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","45","5","5","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","circular","red","circular","0","\","1055","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","\","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","5","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","897888","1745","880117","896830","896073","896073","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","red","(179, 0, 0)","color","absent","lowProb5","rectangular","swap","swap","same","swap","red","(179, 0, 0)","lowProb","lowProb5","rectangular","uniform","1","undefined","0.0364583333333","1","1","34.71875","1","7","6666","0","0","0","0","0","0","0","0","31","0","1","0.0364583333333","34.71875","7","6666","31","31","31","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048AFED0>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","6","6","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","red","rectangular","red","rectangular","0","/","1088","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","7","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","900145","1745","880117","899054","898296","898296","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","red","(179, 0, 0)","color","absent","highProbOther","circular","same","swap","same","swap","red","(179, 0, 0)","lowProb","lowProb4","circular","uniform","1","undefined","0.0416666666667","1","1","39.6354166667","1","8","7610","0","0","0","0","0","0","0","0","32","0","1","0.0416666666667","39.6354166667","8","7610","32","32","32","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x048B3550>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","7","7","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","red","circular","red","circular","0","/","944","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","6","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","902273","1745","880117","901326","900568","900568","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","red","(179, 0, 0)","color","absent","lowProb1","circular","same","same","same","same","red","(179, 0, 0)","lowProb","lowProb5","circular","uniform","1","undefined","0.046875","1","1","45.0260416667","1","9","8645","0","0","0","0","0","0","0","0","33","0","1","0.046875","45.0260416667","9","8645","33","33","33","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x049A5AB0>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","315","8","8","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","red","circular","red","circular","0","/","1035","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","/","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","7","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","904521","1745","880117","903482","902724","902724","NA","752","study_X","0","11253","1","yes","1680"
"undefined","undefined","11253","11253","black","no","legacy","legacy","legacy","0","green","(0, 122, 0)","shape","present","highProb","rectangular","swap","swap","swap","same","green","(0, 122, 0)","highProbColor","highProbColor","circular","uniform","0","undefined","0.046875","1","1","53.6197916667","1","9","10295","0","0","0","0","0","0","0","0","34","0","1","0.046875","53.6197916667","9","10295","34","34","34","08/10/17 12:52:42","Default description","yes","<openexp._canvas.legacy.legacy object at 0x048B77F0>","<openexp._canvas.legacy.legacy object at 0x048C37B0>","<openexp._canvas.legacy.legacy object at 0x048AF410>","<openexp._canvas.legacy.legacy object at 0x049A59D0>","<openexp._canvas.legacy.legacy object at 0x049764B0>","<openexp._canvas.legacy.legacy object at 0x049A5250>","<openexp._canvas.legacy.legacy object at 0x04977A50>","75","IndividualPriorityWithDis_v1.osexp","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2","no","mono","no","18","no","white","no","yes","0.09","98","1050","legacy","45","9","9","1","C:/Userdata/Michel/SpatialProb/IndividualPriorityMaps/Experiment2/data/subject-2.csv","legacy","9","192","25","Jazzy James","3.1.3","yes","598477b2b83f69022949e7e9","47","green","rectangular","green","circular","0","/","1650","space","11253","11253","(80, 80, 80)","(0, 122, 0)","(179, 0, 0)","(155, 155, 155)","2","legacy","experiment","[1, 2, 3, 4, 5, 6, 7, 0]","\","2500","3000","0","8","252.758751519","1024","2","48000","-16","main","[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]","[]","2","even","1","809188","880117","880117","716277","715269","1746","734369","734369","1746","1746","727530","907360","1745","880117","905707","904949","904949","NA","752","study_X","0","11253","1","yes","1680"
