acc,accuracy,answerQ1,answerQ2,answerQ3,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond_disColor,cond_disColorRGB,cond_disFeature,cond_disPresent,cond_disProbability,cond_disShape,cond_primingDisColor,cond_primingDisShape,cond_primingTarColor,cond_primingTarShape,cond_tarColor,cond_tarColorRGB,cond_tarLocation,cond_tarLocationLong,cond_tarShape,coordinates,correct,correct_continuePress,count_Questions,count_blockAcc,count_blockFeed,count_blockLoop,count_blockRT,count_blockSeq,count_blockSumCorrect,count_blockSumRT,count_continuePress,count_example,count_expSettings,count_exp_mainLoop,count_experiment,count_instructions,count_instructions1,count_instructions2,count_log,count_main,count_prepCanvas,count_totalAcc,count_totalRT,count_totalSumCorrect,count_totalSumRT,count_trialResp,count_trialSeq,count_trialTask,datetime,description,disable_garbage_collection,dispBlank,dispBlockStart,dispFeedBlock,dispFix,dispInstructions,dispQuestions,dispSearch,dispStartScreen,distance2screen,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaborFreq,gaborSize,height,keyboard_backend,lineOriTar,live_row,live_row_blockLoop,live_row_exp_mainLoop,logfile,mouse_backend,noExpBlocks,noExpTrials,noPracTrials,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,physical_screensize,previousDisColor,previousDisShape,previousTarColor,previousTarShape,repeat_cycle,response,responseTime,response_continuePress,response_time,response_time_continuePress,rgb_gray,rgb_green,rgb_red,rgb_white,round_decimals,sampler_backend,set_blockType,set_counterPositions,set_respCorrect,set_respTimeoutExp,set_respTimeoutPrac,set_rotation,set_setSize,sizeImaginary,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimPositions,stimuli,subject_nr,subject_parity,tarIdx,time_Questions,time_blockFeed,time_blockLoop,time_blockSeq,time_continuePress,time_example,time_expSettings,time_exp_mainLoop,time_experiment,time_instructions,time_instructions1,time_instructions2,time_log,time_main,time_prepCanvas,time_trialResp,time_trialSeq,time_trialTask,timing_EEGwait,timing_fix,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",color,present,highProb,circular,same,same,swap,swap,red,"(177, 0, 0)",lowProb,lowProb1,circular,uniform,0,undefined,0,0,1,1,13.02083333,1,0,2500,0,0,0,0,0,0,0,0,26,0,1,0,13.02083333,0,2500,25,25,25,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0429EEB0>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,315,0,0,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,red,circular,0,None,2500,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",/,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,0,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,415739,1883,406932,413236,407336,407336,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",shape,present,highProb,circular,same,same,swap,swap,green,"(0, 123, 0)",highProbColor,highProbColor,rectangular,uniform,1,undefined,0,0.005208333,1,1,20.59895833,1,1,3955,0,0,0,0,0,0,0,0,27,0,1,0.005208333,20.59895833,1,3955,26,26,26,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x04284A30>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,1,1,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,green,rectangular,0,\,1455,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,7,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,418500,1883,406932,417041,416215,416215,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",color,present,lowProb2,circular,same,same,swap,swap,red,"(177, 0, 0)",highProbColor,highProbColor,circular,uniform,1,undefined,0,0.010416667,1,1,29.46875,1,2,5658,0,0,0,0,0,0,0,0,28,0,1,0.010416667,29.46875,2,5658,27,27,27,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x04284170>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,315,2,2,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,red,circular,0,/,1703,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",/,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,7,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,421476,1883,406932,419769,418943,418943,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",shape,present,highProb,circular,same,same,swap,swap,green,"(0, 123, 0)",lowProb,lowProb2,rectangular,uniform,1,undefined,0,0.015625,1,1,37.67708333,1,3,7234,0,0,0,0,0,0,0,0,29,0,1,0.015625,37.67708333,3,7234,28,28,28,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0429EA30>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,3,3,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,green,rectangular,0,\,1576,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,1,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,424309,1883,406932,422729,421903,421903,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",shape,absent,lowProb1,rectangular,same,swap,same,same,green,"(0, 123, 0)",highProbShape,highProbShape,rectangular,uniform,1,undefined,0,0.020833333,1,1,47.296875,1,4,9081,0,0,0,0,0,0,0,0,30,0,1,0.020833333,47.296875,4,9081,29,29,29,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x04278970>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,315,4,4,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,rectangular,green,rectangular,0,/,1847,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",/,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,3,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,427412,1883,406932,425562,424736,424736,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",color,present,highProbOther,circular,same,swap,swap,swap,red,"(177, 0, 0)",highProbColor,highProbColor,circular,uniform,1,undefined,0,0.026041667,1,1,52.75,1,5,10128,0,0,0,0,0,0,0,0,31,0,1,0.026041667,52.75,5,10128,30,30,30,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0428D390>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,315,5,5,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,red,circular,0,/,1047,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",/,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,7,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,429732,1883,406932,428682,427856,427856,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",color,absent,lowProb3,rectangular,same,swap,swap,swap,green,"(0, 123, 0)",lowProb,lowProb5,rectangular,uniform,1,undefined,0,0.03125,1,1,65.46354167,1,6,12569,0,0,0,0,0,0,0,0,32,0,1,0.03125,65.46354167,6,12569,31,31,31,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0429E510>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,6,6,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,rectangular,green,rectangular,0,\,2441,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,5,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,433428,1883,406932,430984,430158,430158,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,red,"(177, 0, 0)",color,present,highProb,circular,swap,swap,same,swap,green,"(0, 123, 0)",lowProb,lowProb5,circular,uniform,1,undefined,0,0.036458333,1,1,71.8125,1,7,13788,0,0,0,0,0,0,0,0,33,0,1,0.036458333,71.8125,7,13788,32,32,32,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0429C790>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,7,7,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,red,circular,green,circular,0,\,1219,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,5,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,435932,1883,406932,434709,433882,433882,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,red,"(177, 0, 0)",color,present,lowProb3,rectangular,same,swap,same,swap,green,"(0, 123, 0)",lowProb,lowProb4,rectangular,uniform,1,undefined,0,0.041666667,1,1,78.4375,1,8,15060,0,0,0,0,0,0,0,0,34,0,1,0.041666667,78.4375,8,15060,33,33,33,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0428D410>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,8,8,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,red,rectangular,green,rectangular,0,\,1272,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,4,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,438460,1883,406932,437185,436359,436359,NA,817,study_X,0,7547,1,yes,1680
undefined,undefined,NA,NA,NA,7547,7547,black,no,legacy,legacy,legacy,0,green,"(0, 123, 0)",shape,present,highProb,circular,swap,swap,same,same,green,"(0, 123, 0)",lowProb,lowProb1,rectangular,uniform,1,undefined,0,0.046875,1,1,88.953125,1,9,17079,0,0,0,0,0,0,0,0,35,0,1,0.046875,88.953125,9,17079,34,34,34,11/21/2018 14:09,Default description,yes,<openexp._canvas.legacy.legacy object at 0x04284090>,<openexp._canvas.legacy.legacy object at 0x0428D830>,<openexp._canvas.legacy.legacy object at 0x042D2370>,<openexp._canvas.legacy.legacy object at 0x042949B0>,<openexp._canvas.legacy.legacy object at 0x042D1050>,<openexp._canvas.legacy.legacy object at 0x042771D0>,<openexp._canvas.legacy.legacy object at 0x0429E9F0>,<openexp._canvas.legacy.legacy object at 0x0428D8B0>,75,C:/Userdata/Michel/SpatProbMultiple3,no,mono,no,18,no,white,no,yes,0.09,98,1050,legacy,45,9,9,1,C:/Userdata/Michel/SpatProbMultiple3/beh/subject-8.csv,legacy,12,192,25,Jazzy James,3.1.9,yes,598477b2b83f69022949e7e9,47,green,circular,green,rectangular,0,\,2019,space,7547,7547,"(80, 80, 80)","(0, 123, 0)","(177, 0, 0)","(155, 155, 155)",2,legacy,experiment,"[7, 0, 1, 2, 3, 4, 5, 6]",\,2500,3000,0,8,252.7587515,1024,2,48000,-16,main,"[(0, -252), (178, -178), (252, 0), (178, 178), (0, 252), (-178, 178), (-252, 0), (-178, -178)]",[],32,even,0,NA,240972,406932,406932,141403,140393,1884,159185,159185,1884,1884,148950,441764,1883,406932,439743,438917,438917,NA,817,study_X,0,7547,1,yes,1680
